post_id	date	file
13	22.01.2026	AgenticDesignPatternsRU_book.pdf
22	31.01.2026	Skill-for-Claude_RU_t.me_aivkube_30.01.2026.pdf
23	04.02.2026	AI_Consulting_Death_Market_Structure.pdf
24	04.02.2026	Iskusstvennyy_intellekt_v_Rossii_2025.pdf
25	04.02.2026	Протокол_Deep_Patent_Research.pdf
29	04.02.2026	12_00_12_45_Искусственный_интеллект_в_недвижимости.pdf
34	08.02.2026	workspace_with_gemini_prompting_guide.pdf
35	15.02.2026	OpenClaw_Explain_RU.pdf
36	16.02.2026	OpenClaw_RU.pdf
40	22.02.2026	OpenClaw_Tips_RU.pdf
42	01.03.2026	Claude_Cowork_Guide_RU.pdf
43	01.03.2026	OpenClaw_UseCases_Awesome_RU.pdf
45	04.03.2026	Harness_Engineering_Playbook_RU.pdf
46	09.03.2026	AI_Labor_Market_Impact_RU.pdf
53	15.03.2026	Claude_Beginners_Guide_RU.pdf
58	17.03.2026	01_ИИ_Логбук_Строителя.xlsx
108	23.03.2026	ШАГ1_Задание_на_проектирование_сырой_черновик_ДО_обработки_ИИ.docx
109	23.03.2026	ШАГ2_Раздел_5_ПД_Конструктивные_решения_по_ПП87_РЕЗУЛЬТАТ_Claude.docx
112	24.03.2026	top10_ai_pir.pdf
122	25.03.2026	макрос_создания_реестра_любой_папки_для_вставки_в_эксель.rar
123	25.03.2026	макрос_создания_реестра_любой_папки.xltm
125	26.03.2026	OpenClaw_After_Install_RU.pdf
126	26.03.2026	OpenClaw_Alternatives_RU.pdf
127	26.03.2026	OpenClaw_Explain_RU (1).pdf
128	26.03.2026	OpenClaw_RU (1).pdf
129	26.03.2026	OpenClaw_Skills_UseCases_RU.pdf
130	26.03.2026	OpenClaw_Tips_RU (1).pdf
131	26.03.2026	OpenClaw_UseCases_Awesome_RU (1).pdf
135	30.03.2026	cc_guide_ru.pdf
143	06.04.2026	Prompt_01_VOR_iz_PDF.docx
146	06.04.2026	llm-kb-guide_ru.pdf
147	07.04.2026	Prompt_02_Proverka_smety.docx
151	08.04.2026	Prompt_03_Podbor_GESN_FER.docx
157	09.04.2026	razdel9_PB.docx
162	10.04.2026	prompt_razdel9.pdf
163	10.04.2026	razdel9_v1.pdf
164	10.04.2026	razdel9_v2.pdf
166	14.04.2026	Instrukciya_Meeting_Pipeline.pdf
167	14.04.2026	ai_first_ru.pdf
170	17.04.2026	ai_builder_ru.pdf
172	20.04.2026	Пособие_Заказчика_Застройщика_2026.pdf
176	22.04.2026	чек-лист СТЗ, старт объекта.docx
179	24.04.2026	Регламент_ГИП_Р-ГИП-001_22.04.26.docx
180	24.04.2026	Регламент_ГИП_Р-ГИП-001_22.04.26.pdf
183	28.04.2026	Большая_книга_промптов_Книга_1_с_оглавлением.pdf
187	29.04.2026	промпт_ГИП.txt
188	30.04.2026	Большая_книга_промптов_Книга_2.pdf
190	05.05.2026	Локальная_ИИ_в_строительстве_мини_гайд.pdf
197	12.05.2026	Большая_книга_промптов_Книга_3.pdf
198	13.05.2026	расширенный_пакет_промптов.pdf
199	14.05.2026	Карта_безопасного_внедрения_ИИ.docx
200	15.05.2026	Регламент_использования_ИИ.docx
211	19.05.2026	Пособие_сметчика.pdf
212	20.05.2026	ИИ_пишет_ПЗУ_ГП.pdf
213	21.05.2026	Карта_инструментов_генплана.pdf
214	22.05.2026	Промпт_недели_ВОР_спецификация_итог.pdf
217	24.05.2026	bolshaya_kniga_promptov_3in1.html
221	26.05.2026	Чек_лист_проектировщика_КЖ_КМ_26_мая_2026.pdf
223	27.05.2026	Точки_возврата_КЖ.pdf
224	28.05.2026	Промпт_недели_Исходные_данные_28_мая_2026.pdf
236	02.06.2026	ОВВК_чеклист_02.06.2026.pdf
238	03.06.2026	PrilozhenieOVVK5AImodels.pdf
240	03.06.2026	ClaudeGuide.pdf
241	04.06.2026	PromptdnyaOVEO04062026.pdf
244	05.06.2026	Регламент вх.к_ГГЭ_v1.0.pdf
252	09.06.2026	Posobie_proektirovshchika_2026_1.pdf
262	16.06.2026	Повторяемый_ИИ-нормоконтроль.pdf
264	16.06.2026	MiMo_локально_и_в_облаке.pdf
283	30.06.2026	Пособие_АР_15_проверок_ИИ_итог.pdf
289	07.07.2026	Пособие_ПТО_15_задач_ИИ_итог.pdf
290	07.07.2026	Скрипт_подстановки_реквизитов.zip
306	17.07.2026	Точка_входа_7_дней.pdf
307	17.07.2026	обучение+справочник.html
317	21.07.2026	Правило_периметра_экспресс.pdf
325	24.07.2026	7_мест_экспресс_проектировщику.pdf
331	29.07.2026	практикум_v2_роли.html
340	05.08.2026	ПОС_под_проверку_мини_пособие.pdf
341	07.08.2026	Согласование_применения_ИИ_образец.pdf
347	11.08.2026	Карта_допуска_ИИ_к_инженерной_работе_v1_3.pdf
350	14.08.2026	Нормоконтроль_и_машина.pdf
358	21.08.2026	02_protokol_sravneniya_oborudovaniya_A_B.xlsx
